lon,lat
9.10268748076024,48.74596950486852
9.102651358359475,48.74597837968534
9.102638135093814,48.74597060548949
9.102617587199855,48.74597248165414
9.102608073729607,48.74596351276719
9.102599846257235,48.74598188821967
9.102551606116887,48.74599159739045
9.1025366263349,48.74597920567063
9.102504793629107,48.74600345718194
9.102516657887838,48.74600534176298
9.102479650630105,48.74600968360414
9.102446603648252,48.74600301731977
9.102455468039954,48.74601755124164
9.102417717056264,48.74601061276121
9.102382056139318,48.74601887638977
9.102364632575672,48.74602439306127
9.10235884601539,48.746021882552164
9.102321147996255,48.746006393545365
9.102295732400847,48.74598837342363
9.102277597503022,48.74600618286825
9.102230359060545,48.74599768231557
9.102242119696028,48.74598421271387
9.10223241078829,48.746001332558095
9.102200227089687,48.74601099096985
9.10218656044286,48.746008133277314
9.102164104086276,48.74599172726819
9.102150834070788,48.74599429638686
9.102098614612304,48.74599762934796
9.102080677351815,48.74598474454672
9.102073460793465,48.74597917578248
9.10205025765568,48.745977225899985
9.102031744021565,48.74593125842831
9.101997588343195,48.745957009719234
9.10198865791779,48.745953102404115
9.101968502358966,48.74593729002358
9.101959225903352,48.74592212955944
9.101938581415823,48.74593837891275
9.10191888488181,48.74592186195467
9.101871339334261,48.74589893551229
9.1018911144529,48.74591991398063
9.101844447061575,48.745917162751645
9.101827647981983,48.74589941409336
9.10182077698231,48.74589271231809
9.101816589838945,48.745885747563136
9.101780865466925,48.74589525795233
9.101753889981897,48.74589642476996
9.10174085592279,48.74588190859547
9.10170927727727,48.74587730738608
9.101725547657065,48.745856430639485
9.101693873244887,48.74584619254435
