lon,lat
9.102682433528479,48.74597035017917
9.102660805004533,48.7459722293325
9.102640586503362,48.74597206308471
9.102621129844616,48.74597286804611
9.102602456729413,48.745974491923114
9.102583227617313,48.745980729534544
9.102561152469379,48.74598617038472
9.102540144590732,48.74598964689805
9.102519766536972,48.74599714025
9.102500948219442,48.746002655928
9.102479489307875,48.74600653973801
9.102457781738796,48.74600872192006
9.102437691978638,48.74601303712055
9.102414573835487,48.7460146214833
9.102390923807489,48.746016735812255
9.102368300406644,48.74601739472031
9.102346040000306,48.74601478311307
9.102322148240267,48.746008416524624
9.102299197583191,48.746002281193654
9.102277634533197,48.746001305751726
9.102256137486382,48.74599833274476
9.10223875475021,48.745996584882974
9.102221143200747,48.746000015608665
9.10220123634688,48.746002672674436
9.102180759815683,48.74600176528934
9.102159138404607,48.74599767473915
9.102136940525364,48.74599498620618
9.102112585306243,48.74599114940419
9.102090168793934,48.74598418922082
9.102069476263756,48.74597670696296
9.10204854805061,48.745967842381525
9.102027807878398,48.745955183825025
9.102007729790696,48.74595155903781
9.10198887252119,48.745946250492075
9.10197003028638,48.74593855290277
9.101951776215696,48.74593169943212
9.101932758488358,48.74592856567897
9.101912562140303,48.745921546882876
9.1018917902501,48.745914108560086
9.101874543673626,48.745913154804164
9.101854427634978,48.745909199826485
9.10183569618341,48.745902276157416
9.101818560881748,48.74589677869835
9.101801310816775,48.745892988727945
9.101781812809516,48.745891357003075
9.101762001645751,48.74588761789581
9.101743132828007,48.74588007712216
9.101724880654894,48.74587141303959
9.10170919709395,48.74586086433319
9.101691720641714,48.74585169126621
